School Name,School Name Short,Town,School Type,TOTAL_Enrollment,Average Class Size,% Economically Disadvantaged,% High Needs,Average Expenditures per Pupil,Accountability and Assistance Level,School Accountability Percentile (1-99),AI_Classification,AI_Insight,AI_Key_Strength,AI_Key_Concern,School_Level
Francis W Parker,Francis W Parke,Quincy,Public School,323,16.3,49.5,82.0,16022.62,Level 1,43.0,Struggling,The school displays strong 3rd grade math proficiency but notable declines in 4th grade math and English.,3rd grade math,4th grade performance,K-8
Lincoln-Hancock Community School,Lincoln-Hancock,Quincy,Public School,508,18.4,46.7,67.7,16022.62,Level 3,20.0,Struggling,The school's 4th grade math proficiency rate is notably low at 45%.,Class size,Proficiency rates,K-8
Merrymount,Merrymount,Quincy,Public School,350,18.6,24.9,49.7,16022.62,Level 1,90.0,Thriving,Merrymount shows strong MCAS proficiency rates and minimal warning/fail rates.,Proficiency,None,K-8
Montclair,Montclair,Quincy,Public School,429,18.1,34.0,66.4,16022.62,Level 1,53.0,Performing,"Montclair's math proficiency rates are strong, but English outcomes lag behind.",Math proficiency,English proficiency,K-8
Snug Harbor Community School,Snug Harbor Com,Quincy,Public School,428,11.4,57.2,80.6,16022.62,Level 2,27.0,Struggling,The school faces challenges with low English proficiency rates despite reasonable math performance.,Math proficiency,English proficiency,K-8
Squantum,Squantum,Quincy,Public School,338,14.8,24.0,45.3,16022.62,Level 2,59.0,Performing,Squantum performs well in 3rd-grade math but struggles with 4th-grade math proficiency.,Math Proficiency,4th Grade Performance,K-8
Wollaston School,Wollaston Sch,Quincy,Public School,338,17.6,35.8,62.7,16022.62,Level 2,70.0,Performing,Wollaston School demonstrates strong math proficiency but struggles with 3rd grade English outcomes.,Math,English,K-8
Elizabeth G Lyons Elementary,Elizabeth G Lyo,Randolph,Public School,296,20.2,43.2,63.2,16051.0,Level 2,24.0,Struggling,"The school shows significant discrepancies in 4th grade proficiency rates, particularly in math.",3rd Grade Math,4th Grade Performance,K-8
J F Kennedy Elementary,J F Kennedy Ele,Randolph,Public School,484,16.7,52.5,75.0,16051.0,Level 3,13.0,Struggling,"The school exhibits low MCAS proficiency rates, especially in 4th grade math and 3rd grade English.",Community,Proficiency,K-8
Margaret L Donovan,Margaret L Dono,Randolph,Public School,434,22.8,39.2,59.4,16051.0,Level 3,20.0,Struggling,"The school has low proficiency rates in 4th grade math, indicating a need for targeted support.",Student support,Math proficiency,K-8
Martin E Young Elementary,Martin E Young,Randolph,Public School,320,17.2,45.3,67.2,16051.0,Level 3,6.0,Struggling,"The school has low proficiency rates, particularly in 4th grade math with only 18% meeting expectations.",Enrollment,Proficiency,K-8
River Valley Charter School,River Valley CS,Newburyport,Charter School,288,15.4,6.3,17.7,,Level 1,82.0,Performing,The school has high English proficiency rates but struggles with 4th grade math outcomes.,English proficiency,Math performance,K-8
Oak Ridge,Oak Ridge,East Sandwich,Public School,903,19.5,16.8,30.1,15012.47,Level 2,60.0,Performing,Oak Ridge shows solid math performance but needs improvement in English language proficiency.,Math,English,K-8
Douglas Waybright,Douglas Waybrig,Saugus,Public School,206,17.3,30.1,41.3,14165.89,Level 1,63.0,Thriving,Douglas Waybright showcases strong MCAS proficiency rates and low warning/fail rates across key subjects.,Proficiency,Diversity,K-8
Lynnhurst,Lynnhurst,Saugus,Public School,235,18.4,21.7,43.8,14165.89,Level 2,34.0,Performing,Lynnhurst demonstrates strong 3rd grade math proficiency but shows variable performance in 4th grade subjects.,3rd Grade Math,4th Grade Performance,K-8
Oaklandvale,Oaklandvale,Saugus,Public School,214,19.5,40.7,54.2,14165.89,Level 2,28.0,Performing,"3rd grade math scores are strong, but 4th grade performance shows a significant drop.",Math,4th Grade,K-8
Veterans Memorial,Veterans Memo 2,Saugus,Public School,508,18.2,26.8,42.7,14165.89,Level 2,29.0,Struggling,"4th grade math proficiency is notably low at 35%, indicating a critical area for improvement.",Engagement,Math Proficiency,K-8
Pine Hill,Pine Hill,Sherborn,Public School,429,20.3,4.0,18.4,19533.71,Level 1,96.0,Thriving,Pine Hill excels with high proficiency rates and low warning/fail rates across all metrics.,Proficiency,None,K-8
Albert F. Argenziano School at Lincoln Park,Albert F. Argen,Somerville,Public School,564,20.2,32.6,55.7,18165.45,Level 2,57.0,Performing,The school demonstrates average proficiency in crucial subjects but faces challenges in student performance.,Diversity,Proficiency,K-8
Arthur D Healey,Arthur D Healey,Somerville,Public School,428,16.1,53.5,72.2,18165.45,Level 3,56.0,Struggling,Low proficiency rates in both subjects indicate a need for significant improvement.,Engagement,Proficiency,K-8
Benjamin G Brown,Benjamin G Brow,Somerville,Public School,236,18.5,13.1,20.8,18165.45,Level 1,93.0,Thriving,Benjamin G Brown demonstrates exceptional MCAS proficiency rates with no warning/fail rates.,Proficiency,None,K-8
E Somerville Community,E Somerville Co,Somerville,Public School,725,20.0,46.1,68.0,18165.45,Level 2,45.0,Struggling,"The school has significant challenges in 4th grade proficiency, especially in English.",3rd grade Math,4th grade performance,K-8
John F Kennedy,John F Kenned 8,Somerville,Public School,471,18.2,29.3,43.9,18165.45,Level 2,78.0,Performing,"The school demonstrates solid proficiency rates in math and English, especially in 3rd grade.",Proficiency,4th Grade,K-8
West Somerville Neighborhood,W Somerville Ne,Somerville,Public School,377,19.9,36.3,48.8,18165.45,Level 2,72.0,Performing,"The school has moderate proficiency rates, particularly struggling in 4th grade math.",Engagement,Math proficiency,K-8
Winter Hill Community,Winter Hill Com,Somerville,Public School,462,17.8,49.6,77.3,18165.45,Level 2,42.0,Struggling,The school shows low proficiency rates in both math and English across multiple grade levels.,Enrollment,Proficiency,K-8
William E Norris,William E Norri,Southampton,Public School,520,18.6,15.6,31.0,10744.62,Level 2,48.0,Performing,"Strong 3rd grade math proficiency, but 4th grade scores indicate room for improvement.",Math,4th Grade English,K-8
Margaret A Neary,Margaret A Near,Southborough,Public School,298,23.1,4.7,24.8,17060.39,Level 1,82.0,Thriving,The school demonstrates high MCAS proficiency rates in both math and English for 4th graders.,Proficiency,High Needs,K-8
Granville Village School,Granville Villa,Granville,Public School,82,13.1,24.4,39.0,13377.33,Level 2,40.0,Performing,The school's strong 3rd grade English proficiency contrasts with low 4th grade performance.,English proficiency,4th grade outcomes,K-8
Powder Mill School,Powder Mill Sch,Southwick,Public School,392,18.0,27.6,43.1,13377.33,Level 2,34.0,Performing,"Powder Mill School shows solid proficiency rates, particularly in 4th grade English.",Proficiency,Demographics,K-8
East Brookfield Elementary,E Brookfield El,East Brookfield,Public School,212,21.1,26.4,46.2,12730.89,Level 3,28.0,Struggling,"4th grade proficiency rates in math and English are notably low, indicating significant academic challenges.",3rd grade math,4th grade outcomes,K-8
Wire Village School,Wire Village Sc,Spencer,Public School,430,21.6,35.6,48.8,12730.89,Level 3,18.0,Struggling,Wire Village School shows low proficiency rates in 4th grade English and Math.,Enrollment,Proficiency,K-8
Sunderland Elementary,Sunderland Elem,Sunderland,Public School,257,15.5,30.0,47.5,13264.64,Level 2,73.0,Performing,Sunderland Elementary has solid math outcomes but needs improvement in English proficiency rates.,Math proficiency,English proficiency,K-8
Whitin Elementary School,Whitin Elem,Uxbridge,Public School,411,22.9,21.2,31.4,12755.44,Level 2,36.0,Performing,"Whitin Elementary shows average proficiency rates with some strengths in math, but English outcomes need improvement.",Math proficiency,English outcomes,K-8
Davis Hill Elementary,Davis Hill Elem,Holden,Public School,456,20.7,11.4,22.1,11537.24,Level 2,78.0,Thriving,"Davis Hill Elementary demonstrates strong MCAS proficiency rates, especially in 3rd grade math.",Proficiency,None,K-8
Dawson,Dawson,Holden,Public School,507,18.3,10.1,27.0,11537.24,Level 1,84.0,Thriving,Dawson shows exceptional MCAS proficiency rates across multiple grades and subjects.,Proficiency,None,K-8
Glenwood Elementary School,Glenwood Elem,Rutland,Public School,360,22.6,13.6,28.6,11537.24,Level 2,77.0,Performing,"Glenwood Elementary demonstrates solid proficiency rates, especially in 3rd grade math.",Proficiency,4th Grade English,K-8
Houghton Elementary,Houghton Elem,Sterling,Public School,392,17.1,10.7,21.7,11537.24,Level 1,91.0,Thriving,"Houghton Elementary demonstrates strong MCAS proficiency rates, especially in 4th grade English.",Proficiency,Disabilities,K-8
Leroy E.Mayo,Leroy E.Mayo,Holden,Public School,492,19.4,10.4,24.6,11537.24,Level 2,85.0,Performing,Leroy E. Mayo has solid proficiency rates in 3rd grade math and low warning rates.,Proficiency,4th Grade Math,K-8
Paxton Center,Paxton Ctr,Paxton,Public School,495,18.5,12.7,28.1,11537.24,Level 2,75.0,Performing,The school shows strong proficiency in 3rd grade math but struggles in 4th grade outcomes.,3rd grade math,4th grade performance,K-8
Thomas Prince,Thomas Prince,Princeton,Public School,395,17.7,5.6,17.5,11537.24,Level 1,97.0,Thriving,Thomas Prince School shows excellent MCAS proficiency rates and minimal warning/fail rates.,Proficiency,None,K-8
Minot Forest,Minot Forest,Wareham,Public School,507,16.3,57.4,67.5,14566.67,Level 2,21.0,Struggling,"Minot Forest has significant challenges with low MCAS proficiency rates, especially in math.",Class Size,Proficiency Rates,K-8
Ernest F Upham,Ernest F Upham,Wellesley,Public School,222,20.4,2.7,23.9,18185.37,Level 1,78.0,Performing,Ernest F Upham boasts high 3rd grade math proficiency and low warning rates.,Proficiency,4th grade math,K-8
Hunnewell,Hunnewell,Wellesley,Public School,251,20.9,2.4,14.3,18185.37,Level 1,92.0,Thriving,Hunnewell consistently achieves high MCAS proficiency rates in both math and English.,Proficiency,None,K-8
John D Hardy,John D Hardy,Wellesley,Public School,308,18.3,4.5,21.1,18185.37,Level 1,90.0,Thriving,John D Hardy boasts impressive MCAS proficiency rates and low warning/fail rates.,Proficiency,None,K-8
Joseph E Fiske,Joseph E Fiske,Wellesley,Public School,441,19.0,10.2,27.9,18185.37,Level 1,90.0,Performing,"The school demonstrates strong proficiency rates, particularly in 3rd grade math and English.",Proficiency,4th grade,K-8
Katharine Lee Bates,Katharine Lee B,Wellesley,Public School,379,21.9,1.8,12.4,18185.37,Level 1,92.0,Thriving,Katharine Lee Bates exhibits exceptional proficiency rates in both math and English for 3rd and 4th grades.,Proficiency,None,K-8
Schofield,Schofield,Wellesley,Public School,368,20.7,8.2,18.5,18185.37,Level 1,90.0,Thriving,"Schofield School boasts exceptional MCAS proficiency rates, particularly in 3rd grade math.",Proficiency,N/A,K-8
Sprague Elementary School,Sprague Elem,Wellesley,Public School,392,21.0,4.6,20.9,18185.37,Level 2,94.0,Thriving,Sprague Elementary School showcases exceptional MCAS proficiency rates with low warning/fail rates.,Proficiency,None,K-8
Abner Gibbs,Abner Gibbs,Westfield,Public School,218,18.4,47.2,52.8,13622.87,Level 2,22.0,Struggling,"The school has low proficiency rates in 4th grade, particularly in math and English.",3rd grade performance,4th grade outcomes,K-8
Franklin Ave,Franklin Ave,Westfield,Public School,251,20.4,64.1,68.5,13622.87,Level 1,21.0,Struggling,"The school exhibits low English proficiency rates, especially in 3rd grade.",Math proficiency,English proficiency,K-8
Highland,Highland,Westfield,Public School,396,17.8,62.1,75.5,13622.87,Level 2,23.0,Struggling,Highland struggles notably in English proficiency despite moderate success in math.,Math,English,K-8
Munger Hill,Munger Hill,Westfield,Public School,394,19.9,19.0,30.5,13622.87,Level 3,44.0,Performing,Munger Hill shows solid math proficiency at 3rd grade but struggles in 4th grade outcomes.,3rd Grade Math,4th Grade Performance,K-8
Paper Mill,Paper Mill,Westfield,Public School,433,18.7,43.4,49.9,13622.87,Level 2,39.0,Performing,The school shows balanced outcomes with a notable strength in 3rd grade math proficiency.,3rd Grade Math,4th Grade English,K-8
Russell Elementary School,Russell Elem,Russell,Public School,184,18.2,23.4,35.9,13622.87,Level 2,30.0,Performing,"Russell Elementary shows solid proficiency rates, particularly in 3rd grade math.",Math proficiency,4th grade performance,K-8
Southampton Road,Southampton Roa,Westfield,Public School,453,18.6,37.7,45.7,13622.87,Level 2,50.0,Performing,"3rd grade math proficiency is notably strong at 76%, indicating solid foundational skills.",Math Proficiency,4th Grade English,K-8
Westhampton Elementary School,Westhampton Ele,Westhampton,Public School,130,17.9,12.3,30.8,14509.29,Level 1,80.0,Performing,Westhampton Elementary School demonstrates strong English language proficiency yet mixed math proficiency results.,English proficiency,Math performance,K-8
Whately Elementary,Whately Elem,Whately,Public School,129,13.4,24.0,35.7,16711.63,Level 2,51.0,Performing,"Whately Elementary maintains solid MCAS proficiency rates, especially in 3rd grade math.",Math proficiency,English performance,K-8
Anne T. Dunphy School,Anne T. Dunphy,Williamsburg,Public School,158,17.8,17.1,29.1,14132.36,Level 2,62.0,Performing,"The school has average proficiency rates, indicating stability with room for improvement.",Stability,Proficiency,K-8
North Intermediate,N Intermediate,Wilmington,Public School,270,18.6,10.7,25.9,15501.99,Level 1,74.0,Thriving,North Intermediate demonstrates excellent MCAS proficiency rates with minimal warning/fail rates.,Proficiency,None,K-8
West Intermediate,W Intermediate,Wilmington,Public School,254,19.8,11.4,31.5,15501.99,Level 2,73.0,Performing,West Intermediate demonstrates solid proficiency rates in math and English for 4th graders.,Proficiency,High Needs,K-8
Ambrose Elementary,Ambrose Elem,Winchester,Public School,440,20.9,1.1,19.3,12800.52,Level 1,96.0,Thriving,Ambrose Elementary excels in MCAS proficiency with minimal warning/fail rates across subjects.,Proficiency,High Needs,K-8
Lincoln Elementary,Lincoln Elem,Winchester,Public School,410,18.0,1.7,16.3,12800.52,Level 1,98.0,Thriving,Lincoln Elementary boasts exceptional proficiency rates and minimal warning rates across grades.,Proficiency,None,K-8
Lynch Elementary,Lynch Elem,Winchester,Public School,546,18.1,9.3,35.3,12800.52,Level 1,93.0,Thriving,"Lynch Elementary demonstrates excellent MCAS proficiency rates, particularly in math with over 90% student proficiency.",High proficiency rates,Diverse needs,K-8
Muraco Elementary,Muraco Elem,Winchester,Public School,404,19.2,5.4,22.0,12800.52,Level 1,97.0,Thriving,Muraco Elementary boasts high MCAS proficiency rates and minimal warning/fail rates.,Proficiency,Diversity,K-8
Vinson-Owen Elementary,Vinson-Owen Ele,Winchester,Public School,422,21.3,2.8,24.4,12800.52,Level 1,99.0,Thriving,Vinson-Owen Elementary boasts exceptional proficiency rates and minimal warning/fail rates across all grades.,Proficiency,High Needs,K-8
Burncoat Street,Burncoat Street,Worcester,Public School,259,13.4,70.3,88.8,13901.25,Level 3,15.0,Struggling,Burncoat Street shows low MCAS proficiency rates and high percentages of economically disadvantaged and high needs students.,Engagement,Proficiency,K-8
Canterbury,Canterbury,Worcester,Public School,376,14.8,72.3,94.1,13901.25,Level 2,25.0,At Risk,"Canterbury struggles with low proficiency rates in both math and English, indicating urgent need for intervention.",Demographics,Proficiency,K-8
Chandler Elementary Community,Chandler Elem C,Worcester,Public School,514,21.4,81.3,96.7,13901.25,Level 1,35.0,Performing,Chandler Elementary shows solid math proficiency despite high needs demographics.,Math proficiency,English proficiency,K-8
Flagg Street,Flagg Street,Worcester,Public School,404,19.0,19.3,41.3,13901.25,Level 2,74.0,Performing,Flagg Street demonstrates solid proficiency rates in both math and English among elementary students.,Proficiency,High Needs,K-8
Heard Street,Heard Street,Worcester,Public School,269,20.1,40.1,61.3,13901.25,Level 2,63.0,Performing,Heard Street shows average MCAS proficiency rates with manageable warning/fail rates.,Balance,Diversity,K-8
Jacob Hiatt Magnet,Jacob Hiatt Mag,Worcester,Public School,442,19.0,54.1,77.8,13901.25,Level 2,21.0,Struggling,"The school shows concerning proficiency rates, particularly in 4th grade math and English.",Enrollment,Proficiency,K-8
Nelson Place,Nelson Place,Worcester,Public School,454,15.8,24.9,48.5,13901.25,Level 2,51.0,Performing,"Nelson Place shows solid proficiency in 3rd grade math, but 4th grade outcomes vary significantly.",Proficiency,Inconsistency,K-8
Norrback Avenue,Norrback Avenue,Worcester,Public School,566,16.9,44.9,71.6,13901.25,Level 1,39.0,Performing,Norrback Avenue shows solid proficiency in 3rd grade but struggles in 4th grade math.,3rd grade performance,4th grade math,K-8
Rice Square,Rice Square,Worcester,Public School,412,20.1,65.3,85.4,13901.25,Level 3,18.0,Struggling,"Rice Square shows low proficiency rates, especially in 3rd grade English, indicating significant academic challenges.",Commitment,Proficiency,K-8
Tatnuck,Tatnuck,Worcester,Public School,385,18.4,49.1,74.0,13901.25,Level 2,29.0,Struggling,"The school has significant disparities in math proficiency rates, particularly in 4th grade.",Engagement,Math performance,K-8
Union Hill School,Union Hill Sch,Worcester,Public School,521,19.4,74.5,92.9,13901.25,Level 3,19.0,Struggling,The school faces significant challenges with low proficiency rates and high needs among students.,Community,Proficiency,K-8
Vernon Hill School,Vernon Hill Sch,Worcester,Public School,561,19.9,69.7,89.7,13901.25,Level 3,12.0,At Risk,Vernon Hill School faces significant challenges with low proficiency rates and high warning/fail rates.,Enrollment,Proficiency,K-8
West Tatnuck,W Tatnuck,Worcester,Public School,341,14.3,30.2,56.6,13901.25,Level 1,92.0,Thriving,"West Tatnuck demonstrates exceptional proficiency rates, especially in 3rd grade math.",Proficiency,None,K-8
Charles E Roderick,Charles E Roder,Wrentham,Public School,439,19.8,9.1,22.3,13385.77,Level 2,81.0,Thriving,Charles E Roderick boasts high proficiency rates and low warning rates across key assessments.,Proficiency,High Needs,K-8
Frolio Middle School,Frolio MS,Abington,Public School,328,21.1,21.6,30.8,13270.84,Level 2,40.0,Performing,Frolio Middle School exhibits solid English proficiency rates but has room for improvement in math.,English,Math,Middle School
Agawam Junior High,Agawam JHS,Feeding Hills,Public School,562,11.8,23.3,34.5,14363.21,Level 2,30.0,Performing,Agawam Junior High demonstrates solid proficiency rates in English and math with manageable warning rates.,Proficiency,Demographics,Middle School
Amesbury Middle,Amesbury Middle,Amesbury,Public School,679,18.4,22.4,34.0,13771.87,Level 2,50.0,Performing,"Amesbury Middle shows solid English proficiency rates, especially in 8th grade.",English Proficiency,Math Proficiency,Middle School
Berkley Middle School,Berkley MS,Berkley,Public School,392,19.3,11.0,25.3,13153.79,Level 2,38.0,Performing,Berkley MS shows strong English proficiency rates but average math outcomes.,English,Math,Middle School
Col Moses Parker School,Col Moses Parke,Chelmsford,Public School,725,16.7,11.0,28.6,13288.93,Level 2,94.0,Performing,"Col Moses Parker School demonstrates solid proficiency rates, especially in English, with low warning/fail rates.",Proficiency,High Needs,Middle School
McCarthy Middle School,McCarthy MS,Chelmsford,Public School,850,16.6,10.8,28.4,13288.93,Level 2,90.0,Performing,McCarthy Middle School demonstrates solid proficiency in English with notably low warning/fail rates.,English Proficiency,Math Performance,Middle School
Justus C. Richardson Middle School,Justus C. Richa,Dracut,Public School,901,23.0,20.2,31.5,11380.49,Level 3,23.0,Struggling,Seventh grade math proficiency is notably low compared to other grades.,English proficiency,Math proficiency,Middle School
Easton Middle School,Easton MS,North Easton,Public School,887,18.3,10.9,27.1,12730.58,Level 2,86.0,Performing,"Easton Middle School demonstrates solid proficiency rates, particularly in English across all grades.",Proficiency,Eighth Grade Math,Middle School
Matthew J Kuss Middle,Matthew J Kuss,Fall River,Public School,770,22.4,59.4,64.9,14076.23,Level 2,46.0,Performing,The school demonstrates solid English proficiency but faces challenges in math performance.,English proficiency,Math performance,Middle School
Morton Middle,Morton Middle,Fall River,Public School,622,21.2,62.9,71.5,14076.23,Level 3,18.0,Struggling,Morton Middle faces challenges with low math proficiency rates and significant warning/fail rates.,English proficiency,Math proficiency,Middle School
Resiliency Middle School,Resiliency MS,Fall River,Public School,27,8.6,92.6,100.0,14076.23,Level 2,,At Risk,The school faces critical challenges with no 8th graders meeting math proficiency standards.,Support,Proficiency,Middle School
Stone Day School,Stone Day Sch,Fall River,Public School,32,5.5,87.5,100.0,14076.23,Level 3,1.0,At Risk,The school faces severe challenges with high failure rates and significant student needs.,Small class sizes,Proficiency rates,Middle School
Talbot Innovation School,Talbot Innov Sc,Fall River,Public School,546,15.0,72.5,84.1,14076.23,Level 3,9.0,Struggling,The school faces significant challenges with low math proficiency rates across all grades.,English proficiency,Math proficiency,Middle School
Raymond J Grey Junior High,Raymond J Grey,Acton,Public School,911,22.3,5.2,22.1,14016.2,Level 1,97.0,Thriving,Raymond J Grey boasts exceptional proficiency rates with minimal warning/fail rates across grades.,Proficiency,None,Middle School
Amherst Regional Middle School,Amherst Reg MS,Amherst,Public School,432,17.7,21.3,36.3,19978.57,Level 3,68.0,Performing,"Amherst Regional Middle School shows solid proficiency rates in English and math, reflecting a stable performance.",Proficiency,High Needs,Middle School
Athol-Royalston Middle School,Athol-Royalston,Athol,Public School,387,19.2,44.4,57.1,13694.87,Level 3,10.0,Struggling,"The school's math proficiency rates are notably low, particularly in 7th and 8th grades.",Enrollment,Math proficiency,Middle School
Cape Cod Lighthouse Charter School,Cape Cod Lighth,East Harwich,Charter School,243,29.6,14.4,25.1,,Level 2,57.0,Performing,The school demonstrates strong English proficiency rates across all grades.,English Proficiency,Math Performance,Middle School
Dighton Middle School,Dighton MS,Dighton,Public School,396,18.6,13.4,23.2,13315.89,Level 2,47.0,Performing,Dighton Middle School shows strong English proficiency but needs improvement in 8th-grade math outcomes.,English,Math,Middle School
Dorothy L Beckwith,Dorothy L Beckw,Rehoboth,Public School,575,18.6,13.9,25.9,13315.89,Level 2,62.0,Performing,The school has strong English proficiency rates but shows room for improvement in math.,English proficiency,Math performance,Middle School
Dover-Sherborn Regional Middle School,Dover-Sherbor 2,Dover,Public School,523,17.7,3.1,15.7,18672.58,Level 1,93.0,Thriving,Dover-Sherborn Regional Middle School boasts high MCAS proficiency rates and very low warning/fail rates.,Proficiency,N/A,Middle School
Charlton Middle School,Charlton MS,Charlton,Public School,704,18.8,14.8,22.7,11584.81,Level 2,63.0,Performing,"Charlton Middle School demonstrates solid proficiency rates, particularly in English for all grades.",English Proficiency,Math Proficiency,Middle School
Dudley Middle School,Dudley MS,Dudley,Public School,617,17.9,20.1,30.3,11584.81,Level 2,47.0,Performing,Dudley MS excels in English proficiency but shows significant struggles in 8th grade math.,English,Math,Middle School
Freetown-Lakeville Middle School,Freetown-Lakevi,Lakeville,Public School,739,22.1,14.1,24.5,12187.71,Level 2,72.0,Performing,"The school demonstrates solid proficiency rates, particularly in English across grades.",English Proficiency,Math Outcomes,Middle School
Georgetown Middle School,Georgetown MS,Georgetown,Public School,231,17.4,6.1,16.9,12601.51,Level 2,56.0,Performing,Georgetown Middle School boasts strong English proficiency rates but slightly lower math outcomes.,English proficiency,Math performance,Middle School
Grafton Middle,Grafton Middle,Grafton,Public School,485,22.2,8.9,19.8,11043.15,Level 2,83.0,Performing,Grafton Middle excels in English proficiency rates with low warning/fail metrics.,English Proficiency,Math Performance,Middle School
Thornton Burgess,Thornton Burges,Hampden,Public School,222,19.5,18.5,32.0,13829.67,Level 2,37.0,Performing,The school shows solid English proficiency while math outcomes show room for improvement.,English Proficiency,Math Outcomes,Middle School
Wilbraham Middle,Wilbraham Middl,Wilbraham,Public School,534,19.0,14.2,24.0,13829.67,Level 2,75.0,Performing,Wilbraham Middle shows strong English outcomes while maintaining acceptable math proficiency rates.,English proficiency,Math performance,Middle School
Helen Y. Davis Leadership Academy Charter Public School,Helen Y. Davis,Boston,Charter School,217,17.4,52.1,71.0,,Level 2,25.0,Struggling,The school shows low proficiency in math across grades despite better performance in English.,English proficiency,Math proficiency,Middle School
Hingham Middle School,Hingham MS,Hingham,Public School,1097,18.9,4.8,14.9,12367.63,Level 2,86.0,Performing,Hingham Middle School shows strong English proficiency rates with minimal warning rates across subjects.,Proficiency,Math,Middle School
Robert H. Adams Middle School,Robert H. Adams,Holliston,Public School,663,17.2,7.4,24.1,13446.3,Level 2,91.0,Performing,"Robert H. Adams shows solid proficiency rates, especially in English, but has room for improvement in math.",Proficiency,Math,Middle School
Hopkinton Middle School,Hopkinton MS,Hopkinton,Public School,870,22.0,2.9,17.0,13534.81,Level 1,97.0,Thriving,Hopkinton Middle School boasts high MCAS proficiency rates and very low warning/fail rates.,Proficiency,N/A,Middle School
Ipswich Middle School,Ipswich MS,Ipswich,Public School,458,22.5,10.9,22.9,14069.27,Level 2,69.0,Performing,Ipswich MS shows strong English proficiency rates but average math outcomes need attention.,English,Math,Middle School
Jonas Clarke Middle,Jonas Clarke Mi,Lexington,Public School,891,19.4,7.0,22.7,17866.69,Level 1,98.0,Thriving,Jonas Clarke Middle excels with high MCAS proficiency rates and low warning/failure rates.,Proficiency,None,Middle School
Wm Diamond Middle,Wm Diamond Midd,Lexington,Public School,852,18.4,4.0,21.4,17866.69,Level 1,99.0,Thriving,Wm Diamond Middle boasts exceptionally high MCAS proficiency rates across all grades.,Proficiency,High Needs,Middle School
Littleton Middle School,Littleton MS,Littleton,Public School,351,17.8,9.7,27.1,13990.04,Level 2,76.0,Performing,"Littleton Middle School demonstrates strong English proficiency rates, especially in 6th grade.",English Proficiency,Math Performance,Middle School
Glenbrook Middle,Glenbrook Middl,Longmeadow,Public School,334,19.4,7.5,26.3,14385.39,Level 1,90.0,Thriving,"Glenbrook Middle excels with high proficiency rates, especially in English across all grades.",Proficiency,None,Middle School
Williams Middle,Williams Middle,Longmeadow,Public School,344,20.1,4.9,21.2,14385.39,Level 2,96.0,Performing,Williams Middle shows solid academic performance with high MCAS proficiency rates across grades.,Proficiency,High Needs,Middle School
Lynnfield Middle School,Lynnfield MS,Lynnfield,Public School,698,18.8,6.3,27.2,13899.53,Level 2,79.0,Thriving,Lynnfield Middle School demonstrates strong MCAS proficiency rates across all grades in math and English.,Proficiency,High Needs,Middle School
Manchester Essex Regional Middle School,Manchester Es 2,Manchester,Public School,386,20.1,7.3,19.2,15313.52,Level 2,81.0,Error,Expecting value: line 1 column 1 (char 0),N/A,N/A,Middle School
Furnace Brook Middle,Furnace Brook M,Marshfield,Public School,1016,18.9,12.6,24.3,12709.0,Level 2,73.0,Thriving,"Furnace Brook Middle excels in both math and English proficiency rates, showcasing strong academic performance.",Proficiency,Demographics,Middle School
Medway Middle,Medway Middle,Medway,Public School,710,19.6,9.3,23.0,13307.78,Level 2,92.0,Performing,Medway Middle consistently demonstrates strong MCAS proficiency rates across multiple grades and subjects.,Proficiency,Disparity,Middle School
Miscoe Hill School,Miscoe Hill Sch,Mendon,Public School,780,20.4,8.3,22.1,13742.48,Level 2,77.0,Thriving,"Miscoe Hill School boasts impressive proficiency rates, especially in English across all grades.",Proficiency,None,Middle School
Millis Middle,Millis Middle,Millis,Public School,429,19.4,12.1,23.3,13489.87,Level 2,61.0,Performing,"Millis Middle demonstrates solid proficiency rates, particularly in 8th grade English.",Proficiency,Disadvantaged,Middle School
Narragansett Middle,Narragansett Mi,Baldwinville,Public School,421,19.5,26.6,37.5,12696.99,Level 2,57.0,Performing,"Narragansett Middle shows strong English proficiency rates, particularly in 8th grade.",English proficiency,Math performance,Middle School
Hale,Hale,Stow,Public School,287,19.8,3.8,16.4,14264.04,Level 1,95.0,Thriving,Hale School demonstrates exceptional proficiency rates in both math and English across all grades.,Proficiency,Needs,Middle School
Luther Burbank Middle School,Luther Burbank,Lancaster,Public School,247,17.7,8.1,25.9,14264.04,Level 2,89.0,Thriving,Luther Burbank excels with high MCAS proficiency rates across all grades in both math and English.,Proficiency,None,Middle School
Nauset Regional Middle,Nauset Reg Midd,Orleans,Public School,535,16.9,21.7,36.6,18326.55,Level 2,81.0,Performing,Nauset Regional Middle showcases robust English proficiency while maintaining average math outcomes.,English proficiency,Math performance,Middle School
Pollard Middle,Pollard Middle,Needham,Public School,876,18.4,5.3,22.3,15900.29,Level 2,95.0,Thriving,Pollard Middle excels with high MCAS proficiency rates and low warning/fail rates.,Proficiency,N/A,Middle School
North Andover Middle,N Andover Middl,North Andover,Public School,1139,24.6,12.5,24.2,12054.9,Level 2,81.0,Performing,North Andover Middle demonstrates solid MCAS proficiency rates across multiple grades.,Proficiency,Disabilities,Middle School
